,Year,ocean heat mean,ocean level mean,ocean temp mean,Carbon dioxide,Methane,Nitrous oxide,CFC-12,CFC-11,15 other gases
0,1979,0.03530023056672454,0.0,0.15517241379310345,0.0,0.0,0.0,0.0,0.0,0.0
1,1980,0.09945442144488857,0.05737508743804428,0.17241379310344826,0.029551954242135494,0.0636363636363632,0.0,0.06097560975609762,0.07407407407407413,0.03061224489795921
2,1981,0.10986263110140673,0.17595026802459088,0.10344827586206895,0.04766444232602482,0.1272727272727269,0.030612244897959204,0.12195121951219508,0.148148148148148,0.05102040816326528
3,1982,0.04281817295512998,0.12048768356321936,0.10344827586206895,0.05910390848427078,0.1818181818181815,0.07142857142857148,0.1829268292682927,0.22222222222222213,0.07142857142857142
4,1983,0.0,0.20081280591171147,0.24137931034482757,0.08388941849380369,0.2090909090909088,0.09183673469387761,0.2560975609756099,0.2962962962962963,0.10204081632653063
5,1984,0.04455558080731008,0.19220654284053404,0.0689655172413793,0.10772163965681598,0.2363636363636361,0.12244897959183682,0.3170731707317073,0.3703703703703704,0.13265306122448978
6,1985,0.09664534145958804,0.09371264269942603,0.0,0.1286939942802669,0.2818181818181816,0.14285714285714282,0.37804878048780494,0.48148148148148134,0.16326530612244897
7,1986,0.09565485660927978,0.09945015146751925,0.0689655172413793,0.14966634890371783,0.3272727272727271,0.173469387755102,0.4512195121951221,0.5925925925925926,0.1836734693877551
8,1987,0.08035917252746996,0.10518766031657509,0.31034482758620685,0.17540514775977134,0.3727272727272726,0.16326530612244897,0.5243902439024393,0.6666666666666666,0.22448979591836732
9,1988,0.14073003602658765,0.15013147873009666,0.24137931034482757,0.21258341277407058,0.409090909090909,0.18367346938775508,0.6219512195121951,0.7777777777777776,0.2653061224489796
10,1989,0.11911798134199228,0.1931627942479081,0.17241379310344826,0.2364156339370829,0.4454545454545454,0.22448979591836737,0.6951219512195123,0.8518518518518517,0.3061224489795918
11,1990,0.11387328287232712,0.21515657775098188,0.3448275862068965,0.25357483317445184,0.4818181818181818,0.2551020408163266,0.7560975609756099,0.9259259259259258,0.3469387755102041
12,1991,0.22928912411808516,0.23906286414976596,0.2931034482758621,0.2716873212583414,0.5181818181818182,0.2755102040816327,0.804878048780488,0.9629629629629629,0.38775510204081637
13,1992,0.1975124216254081,0.24575662440619567,0.15517241379310345,0.28217349857006674,0.5545454545454546,0.2959183673469388,0.8536585365853661,1.0,0.4183673469387754
14,1993,0.20485175199162683,0.22876474298920432,0.15517241379310345,0.2926596758817923,0.5545454545454546,0.3061224489795919,0.8780487804878051,1.0,0.43877551020408156
15,1994,0.22909427463933602,0.27406416754234714,0.1896551724137931,0.31363203050524324,0.5818181818181813,0.31632653061224497,0.8902439024390246,1.0,0.4591836734693877
16,1995,0.19320949563636397,0.30324776664402914,0.27586206896551724,0.33937082936129653,0.5999999999999996,0.32653061224489804,0.9268292682926832,1.0,0.4693877551020408
17,1996,0.3030396518246459,0.3415771804986337,0.1896551724137931,0.3651096282173498,0.6090909090909087,0.35714285714285726,0.9512195121951222,0.9629629629629629,0.47959183673469385
